CORSO DI STUDI,PAROLE CHIAVE - IT
INGEGNERIA AERONAUTICA,computer experiments; correlation parameter; data fusion; extrapolation; kriging; sampling
INGEGNERIA CHIMICA,biomaterial; cell; heart; scaffold; tissue engineering; myocardial regeneration; bioartificial tissue; biological scaffold; degradable polymer ; stem cells; myocardial infarction; myocardial constructs; cell sheet
INGEGNERIA ELETTRICA,multi terminal grid; direct current; wind farm offshore; faults
INGEGNERIA MECCANICA,gasification; municipal solid waste; energy recovery; thermal treatment; waste-to-energy
ARCHITETTURA,Lazzaretto; Verona
ARCHITETTURA,church; faith; holy architecture
INGEGNERIA MECCANICA,Vickers microhardness; mapping; thickness variation; EBSD
INGEGNERIA MECCANICA,Ti6Al4V; machinability; face milling; FEM; edge preparation
ARCHITETTURA,cultural center; monument; Palazzo Te
INGEGNERIA ENERGETICA,cfd; pulverized coal combustion; industrial burner; burner aerodynamics; utility boiler
INGEGNERIA DEI MATERIALI,carbon-carbon/SiC; CMC; brake disk
INGEGNERIA AERONAUTICA,Navier-Stokes; linearization; aeroelasticity; load carrying
ARCHITETTURA,tunnel; lake; garda; out; museum;
INGEGNERIA AEROSPAZIALE,thermoplastic composites; natural fibre; glass fibre; polypropylene; polylactic acid; kenaf fibre; mechanical properties; impact test; damping; biocomposites; biodegradable polymers
INGEGNERIA MECCANICA,foundry; die-casting; aluminium; furnace; warm-up; cycle-time
INGEGNERIA MECCANICA,modal control; modal coordinates; modal shapes; magnetostrictive actuators; smart materials
INGEGNERIA MECCANICA,internal combustion engines; CFD; airbox; Gasdyn; OpenFOAM
INGEGNERIA AERONAUTICA,airport; baggage handling system (BHS); radio frequency identification (RFId); read rate
INGEGNERIA MECCANICA,high speed pantograph; railway line high speed; aerodynamic effects on head; contact force
INGEGNERIA AERONAUTICA,eddy; lidar; Taylor; turbulence; wind energy
INGEGNERIA MECCANICA,materials handling; order picking; sorting; overlapping; wave
INGEGNERIA AERONAUTICA,transonic; wind tunnel; design; chocking system
INGEGNERIA MECCANICA,FMEA
ARCHITETTURA,cathedral; chevet; restoration; reconstruction; practical intervention
INGEGNERIA MECCANICA,"railway diagnostic; vertical acceleration; lateral acceleration, train; limit"
INGEGNERIA DEI MATERIALI,friction; silicon; nanoparticles; AFM
INGEGNERIA ENERGETICA,solar concentration; parabolic concentration; solar cooling; photovoltaic concentration; cooling of photovoltaic cells; solar hybrid photovoltaic thermal
INGEGNERIA DEI MATERIALI,fretting fatigue; gas turbine; Inconel 738; shot peening; failure analysis
ARCHITETTURA,urban mobility
INGEGNERIA AERONAUTICA,centrifugal compressor; unsteady flow; rotor-stator interaction
ARCHITETTURA,restoration; use intended; review; plants; redevelopment
INGEGNERIA DEI MATERIALI,fuel cell; lanthanum gallate ; perovskite; solid state electrolyte; electroceramics ; steric entrapment synthesis ; spark plasma sintering
INGEGNERIA ENERGETICA,natural gas; compressed natural gas; CNG; liquefied natural gas; LNG; pipelines; methane hydrate; NGH; comparative assessment energy consumptions total costs; technologies for natural gas transportation
INGEGNERIA DEI MATERIALI,R.T.M.; resin transfer moulding; composite materials; carbon fiber; Raku Tool WB 0700; Raku Tool WB 1700; mould optimization
INGEGNERIA ENERGETICA,plug-in hybrid electric vehicle (PHEV); charge; interaction; power grid; emissions; costs
INGEGNERIA SPAZIALE,life cycle cost; cost per launch; reliability; expendable launchers
INGEGNERIA MECCANICA,design automation; industrial fans; knowledge based engineering; automatic FE simulation; mind maps
INGEGNERIA MECCANICA,fault identification; robust estimators; inverse dynamic; absence of information; model-based techniques; model inaccuracies
INGEGNERIA MECCANICA,Kaizen
INGEGNERIA ENERGETICA,energy storage systems; Li-Ion battery; thermal characterization; battery modeling
INGEGNERIA DEI MATERIALI,9-12% Cr steels; dilatometry; kinetic analysis; isochronal analysis; solid state transformation mechanism; microstructure of steels; metallography
INGEGNERIA MECCANICA,front axle; optimization; simulation
INGEGNERIA AERONAUTICA,cooling system; liquid propulsion; rocket engines; dump cooling; regenerative circuits; convection; heat transfer
INGEGNERIA CHIMICA,environment; test bench; DeNOx activity; simulation; NOx abatment; SCR technology; catalysis
INGEGNERIA ELETTRICA,elevator; lift; eco-efficiency; energy consumption
INGEGNERIA CHIMICA,photocatalysis; nanostructured materials; advanced oxidation processes; hazardous organic pollutants
INGEGNERIA DELLA PREVENZIONE E DELLA SICUREZZA NELL'INDUSTRIA DI PROCESSO,experimental study; behavior; safety; test C
INGEGNERIA AERONAUTICA,fuel cells; FADEC; EHA; electric brakes; more-electric; all-electric
INGEGNERIA CHIMICA,NOx reduction; Pt-Ba/Al2O3; NOx Trap; kinetics; hydrogen; ammonia; spatiotemporal resolution
INGEGNERIA CHIMICA,organoclays; nonionic polymers; drug delivery
